Melanin,Haemoglobin,Thickness_cm,BloodOxygenation,MelaninTypeRatio
3.330271448305082704e-01,1.435038941610906893e-01,1.618642667306819174e-02,9.660761614725535962e-01,7.277098543099540517e-01
1.892788506536304538e-01,7.206600358342710178e-02,2.295461472607449732e-02,9.365657546304577696e-01,7.030450882255371292e-01
3.693385076419830604e-01,1.705217032935623378e-01,1.056116938102301915e-02,9.227122205252316078e-01,6.612583745582030215e-01
3.001708844664671139e-01,4.895445489236035369e-02,5.519551198931216263e-03,9.083616359377517657e-01,7.986457979053849243e-01
4.140208224380165225e-02,1.081403045272383290e-01,2.051310007367843427e-02,9.101751251320877589e-01,6.762160590087572531e-01
4.195419888521683127e-01,3.764370421268731226e-02,1.904755319943943898e-02,9.959430318763516921e-01,6.882962712464065769e-01
3.275289321538614185e-01,9.956482266078256482e-02,1.590983291348387410e-02,9.788456619674794634e-01,6.853873643741926758e-01
3.382215869638131589e-01,3.134083528669885654e-02,2.130685459458425343e-02,9.244959249971007598e-01,7.861912110028554945e-01
5.596074841780918074e-02,3.315414624993286846e-02,2.180168745296265018e-02,9.529147236837463009e-01,7.645532589085295427e-01
1.942155673571983043e-01,1.228324520313611307e-01,1.675806616036347799e-02,9.714232724350067016e-01,7.185994699159005128e-01
1.600723523957773564e-01,5.349342239297758678e-02,2.431855583707874177e-02,9.352537902002492354e-01,7.933134550927789519e-01
3.985821802160501859e-01,3.530107808628521471e-02,1.939423895234654652e-02,9.439988058159785034e-01,6.579175071179662604e-01
2.772181365146050847e-01,1.860238817768795627e-01,1.853750752325257489e-02,9.718381919572706140e-01,7.840505571832478982e-01
3.539647320931860741e-01,9.557646897270163922e-03,1.222843585117290750e-02,9.227454314753134046e-01,6.590641003532239361e-01
1.912246912969250423e-01,1.134644744264815541e-01,5.045171572000153176e-03,9.526344358466658502e-01,7.086696043901845599e-01
9.848541164566927686e-02,1.101045045248197907e-01,9.818853477883561498e-03,9.210088171686232617e-01,6.581007317564734338e-01
2.389168736297931361e-01,5.087116600620890383e-02,2.027841013629259892e-02,9.003077601015526676e-01,7.998453487636528747e-01
2.837760286869121448e-02,9.110157727745074596e-02,1.919742508874348191e-02,9.690263735565003422e-01,7.871584253750902871e-01
3.560537727848177014e-01,1.845981883344445865e-02,1.162044289660188467e-02,9.707264859621242969e-01,7.377198432869347400e-01
2.719840272233657874e-01,1.445327590388532368e-01,1.751165949076877518e-02,9.995722698596920530e-01,6.826766860997368624e-01
3.262196404966253849e-01,4.511773252698782211e-02,8.905749589462743504e-03,9.181015444394799996e-01,6.915166587796204301e-01
1.530916403277135240e-01,3.948368660548463166e-02,1.027255438538088143e-02,9.739580325065739785e-01,7.174315049085681073e-01
4.174294524654135197e-01,6.366081717722310573e-02,2.394816187804993390e-02,9.947967424362638145e-01,6.984170273738519175e-01
3.841489610472227922e-01,1.805716141323652768e-01,1.326361145871188946e-02,9.644580336811106047e-01,6.531970858152411630e-01
3.349265202446438106e-01,1.594968630084249994e-01,9.899751885977090340e-03,9.963140560470085116e-01,7.484384012175702150e-01
8.450000566849408257e-02,1.894315659356177739e-01,1.474216493677982937e-02,9.994440985277783795e-01,7.420141856139952363e-01
